Sample-#, CA-V, CA-I, CB-V, CB-I 
0, 4.79759216309, -0.0366210952052, 4.79179382324, 0.856018043123
1, 4.79766845703, 0.222778326133, 4.79194641113, 0.947570777498
2, 4.79751586914, 0.108337400889, 4.79187011719, 0.955200172029
3, 4.79766845703, 0.154113775352, 4.79194641113, 1.03149411734
4, 4.79759216309, -0.0137329097925, 4.79194641113, 1.05438230094
5, 4.7974395752, 0.0244140628638, 4.79179382324, 0.978088355623
6, 4.79759216309, 0.00152587892899, 4.79179382324, 1.00097653922
7, 4.79774475098, 0.0778198227636, 4.79187011719, 1.02386472281
8, 4.79766845703, 0.0091552738013, 4.79179382324, 1.02386472281
9, 4.79766845703, 0.207519537071, 4.7917175293, 1.05438230094
10, 4.79759216309, 0.184631353477, 4.7917175293, 1.15356442984
11, 4.7974395752, 0.19989014254, 4.79179382324, 1.00860593375
12, 4.79766845703, 0.131225591758, 4.79179382324, 0.932311988436
13, 4.79766845703, 0.108337400889, 4.79187011719, 1.13830564078
14, 4.79774475098, 0.0473022446386, 4.79179382324, 1.11541745719
15, 4.79736328125, 0.146484380821, 4.79194641113, 0.978088355623
16, 4.79751586914, 0.0854492172948, 4.79179382324, 1.08489987906
17, 4.79751586914, 0.177001958946, 4.79179382324, 1.06964109
18, 4.79759216309, 0.0473022446386, 4.79179382324, 1.01623532828
19, 4.79774475098, 0.0549316391698, 4.79187011719, 1.00860593375
20, 4.79751586914, 0.0930786118261, 4.79164123535, 1.03912351187
21, 4.7974395752, 0.108337400889, 4.7917175293, 1.06964109
22, 4.79751586914, 0.131225591758, 4.79187011719, 1.03149411734
23, 4.79759216309, 0.0396728501073, 4.7917175293, 1.03912351187
24, 4.79774475098, 0.123596197227, 4.79194641113, 1.05438230094
25, 4.79759216309, 0.13885498629, 4.79202270508, 1.05438230094
26, 4.79766845703, 0.161743169883, 4.79187011719, 1.08489987906
27, 4.79766845703, 0.161743169883, 4.7917175293, 0.901794410311
28, 4.79759216309, 0.0396728501073, 4.79179382324, 0.978088355623
29, 4.79751586914, 0.0549316391698, 4.79179382324, 1.16119382437
30, 4.79782104492, 0.0091552738013, 4.79194641113, 0.932311988436
