Sample-#, CA-V, CA-I, CB-V, CB-I 
0, 4.78927612305, -0.135803216835, 4.78240966797, 0.970458961092
1, 4.78927612305, 0.0396728501073, 4.78256225586, 1.02386472281
2, 4.78942871094, 0.100708006357, 4.78256225586, 1.03149411734
3, 4.78935241699, 0.0930786118261, 4.78248596191, 1.00860593375
4, 4.78927612305, 0.0320434555761, 4.78256225586, 1.01623532828
5, 4.7891998291, 0.0625610337011, 4.78248596191, 0.947570777498
6, 4.78942871094, 0.0625610337011, 4.78248596191, 1.10015866812
7, 4.78912353516, 0.0625610337011, 4.78256225586, 1.01623532828
8, 4.78950500488, 0.0778198227636, 4.78240966797, 1.03149411734
9, 4.78927612305, 0.0396728501073, 4.78256225586, 1.06964109
10, 4.78942871094, -0.00610351571595, 4.78256225586, 1.02386472281
11, 4.78927612305, -0.0213623043237, 4.7826385498, 1.02386472281
12, 4.78958129883, 0.161743169883, 4.78248596191, 1.03912351187
13, 4.78904724121, 0.154113775352, 4.78240966797, 0.993347144686
14, 4.78942871094, 0.0625610337011, 4.78256225586, 1.07727048453
15, 4.78927612305, 0.131225591758, 4.78248596191, 1.01623532828
16, 4.7891998291, 0.0473022446386, 4.78233337402, 1.0467529064
17, 4.78935241699, 0.0473022446386, 4.78256225586, 0.993347144686
18, 4.78935241699, 0.169372564415, 4.78248596191, 1.08489987906
19, 4.7891998291, 0.0930786118261, 4.78233337402, 0.970458961092
20, 4.78927612305, 0.00152587892899, 4.78256225586, 1.02386472281
21, 4.78912353516, 0.0701904282323, 4.78256225586, 0.871276832186
22, 4.78927612305, -0.028991698855, 4.78248596191, 1.08489987906
23, 4.78904724121, 0.0091552738013, 4.78240966797, 1.05438230094
24, 4.78935241699, -0.0747680678614, 4.78256225586, 0.932311988436
25, 4.7891998291, -0.0213623043237, 4.78248596191, 1.03912351187
26, 4.78942871094, -0.0518798842677, 4.78240966797, 0.978088355623
27, 4.7891998291, 0.0930786118261, 4.7826385498, 1.08489987906
28, 4.78935241699, -0.028991698855, 4.78248596191, 1.06201169547
29, 4.78958129883, -0.0671386733302, 4.78240966797, 0.909423804842
30, 4.78935241699, 0.0091552738013, 4.78248596191, 0.955200172029
31, 4.7891998291, 0.0854492172948, 4.78256225586, 1.09252927359
32, 4.78927612305, 0.0244140628638, 4.7826385498, 1.01623532828
33, 4.78935241699, -0.028991698855, 4.78256225586, 1.05438230094
34, 4.78935241699, 0.0778198227636, 4.78248596191, 1.00097653922
35, 4.7891998291, 0.00152587892899, 4.78248596191, 1.05438230094
36, 4.78935241699, 0.0091552738013, 4.78256225586, 1.0467529064
37, 4.78942871094, 0.0091552738013, 4.78256225586, 1.03912351187
38, 4.7891998291, -0.0595092787989, 4.78248596191, 0.917053199373
39, 4.78935241699, 0.0701904282323, 4.78240966797, 0.932311988436
40, 4.78935241699, 0.0091552738013, 4.7826385498, 0.962829566561
41, 4.78927612305, 0.0244140628638, 4.7826385498, 0.993347144686
42, 4.78942871094, 0.0091552738013, 4.78248596191, 1.05438230094
43, 4.78935241699, -0.0213623043237, 4.7826385498, 1.06201169547
44, 4.7891998291, 0.0473022446386, 4.7826385498, 1.06964109
45, 4.78935241699, 0.0244140628638, 4.78248596191, 1.02386472281
46, 4.78927612305, 0.0320434555761, 4.78218078613, 1.0467529064
47, 4.7891998291, 0.0396728501073, 4.78248596191, 1.00097653922
48, 4.78927612305, 0.0091552738013, 4.78240966797, 1.00860593375
