Sample-#, CA-V, CA-I, CB-V, CB-I 
0, 4.77668762207, -0.0366210952052, 4.77035522461, 1.02386472281
1, 4.77653503418, 0.0473022446386, 4.77066040039, 1.11541745719
2, 4.77645874023, 0.177001958946, 4.77058410645, 1.10015866812
3, 4.7770690918, 0.207519537071, 4.77043151855, 1.0467529064
4, 4.77645874023, 0.154113775352, 4.7705078125, 0.962829566561
5, 4.77653503418, -0.0442504897364, 4.77058410645, 1.02386472281
6, 4.77653503418, 0.0701904282323, 4.77043151855, 0.978088355623
7, 4.77661132813, 0.13885498629, 4.77035522461, 1.03912351187
8, 4.77630615234, 0.0167846683325, 4.77035522461, 1.03912351187
9, 4.77645874023, 0.19989014254, 4.77043151855, 1.08489987906
10, 4.7762298584, 0.169372564415, 4.77043151855, 0.993347144686
11, 4.77661132813, 0.0625610337011, 4.77058410645, 0.978088355623
12, 4.77630615234, -0.0366210952052, 4.77043151855, 1.01623532828
13, 4.77638244629, 0.100708006357, 4.77035522461, 1.03912351187
14, 4.77645874023, 0.0473022446386, 4.77027893066, 1.00097653922
15, 4.77638244629, 0.0091552738013, 4.77020263672, 1.06201169547
16, 4.77638244629, 0.0473022446386, 4.77043151855, 1.18408200797
17, 4.77653503418, 0.13885498629, 4.7705078125, 1.11541745719
18, 4.77653503418, 0.11596679542, 4.77058410645, 0.947570777498
19, 4.77653503418, 0.100708006357, 4.77043151855, 0.993347144686
20, 4.77653503418, 0.19989014254, 4.7705078125, 0.978088355623
21, 4.77645874023, 0.11596679542, 4.77027893066, 1.16119382437
22, 4.77645874023, 0.0320434555761, 4.77043151855, 1.09252927359
23, 4.77645874023, 0.11596679542, 4.7705078125, 0.985717750154
24, 4.77661132813, 0.0778198227636, 4.77073669434, 1.01623532828
25, 4.77653503418, 0.0167846683325, 4.77043151855, 1.01623532828
26, 4.77668762207, 0.0778198227636, 4.77066040039, 1.05438230094
27, 4.77653503418, 0.123596197227, 4.77058410645, 1.00860593375
28, 4.77661132813, -0.00610351571595, 4.77066040039, 1.10778806265
29, 4.77638244629, 0.0396728501073, 4.77043151855, 1.11541745719
30, 4.77645874023, 0.100708006357, 4.7705078125, 0.932311988436
31, 4.77653503418, 0.0320434555761, 4.77043151855, 1.0467529064
32, 4.77653503418, 0.108337400889, 4.7705078125, 1.13830564078
33, 4.77661132813, 0.0854492172948, 4.77058410645, 0.962829566561
34, 4.77661132813, 0.161743169883, 4.7705078125, 1.0467529064
35, 4.77645874023, 0.0930786118261, 4.7705078125, 1.06964109
36, 4.77653503418, 0.11596679542, 4.77058410645, 1.05438230094
37, 4.77661132813, 0.100708006357, 4.77043151855, 1.0467529064
38, 4.77676391602, 0.0320434555761, 4.77058410645, 0.985717750154
39, 4.77661132813, 0.146484380821, 4.77043151855, 1.0467529064
40, 4.77638244629, 0.131225591758, 4.77020263672, 1.01623532828
41, 4.77645874023, 0.0778198227636, 4.77027893066, 0.917053199373
42, 4.77630615234, 0.0549316391698, 4.77027893066, 1.03912351187
43, 4.77630615234, 0.0778198227636, 4.77035522461, 0.932311988436
44, 4.77645874023, 0.0167846683325, 4.77035522461, 1.03912351187
45, 4.77661132813, 0.19989014254, 4.77066040039, 0.901794410311
46, 4.77630615234, 0.0320434555761, 4.77027893066, 1.0467529064
47, 4.77638244629, 0.0625610337011, 4.77027893066, 1.16119382437
48, 4.77630615234, 0.0778198227636, 4.77012634277, 1.09252927359
49, 4.77645874023, 0.0930786118261, 4.77035522461, 1.01623532828
50, 4.77645874023, 0.123596197227, 4.77035522461, 1.0467529064
51, 4.77645874023, 0.13885498629, 4.77043151855, 0.993347144686
52, 4.77645874023, 0.0396728501073, 4.77027893066, 1.05438230094
53, 4.77630615234, 0.131225591758, 4.77020263672, 1.00860593375
54, 4.77615356445, 0.131225591758, 4.77027893066, 1.08489987906
55, 4.77615356445, 0.0930786118261, 4.77020263672, 0.909423804842
56, 4.77630615234, 0.0930786118261, 4.77043151855, 1.00097653922
57, 4.77668762207, 0.13885498629, 4.77066040039, 1.05438230094
58, 4.77630615234, 0.0778198227636, 4.77035522461, 1.02386472281
59, 4.77630615234, 0.108337400889, 4.77043151855, 1.06201169547
60, 4.7762298584, 0.0701904282323, 4.77027893066, 1.06964109
61, 4.77653503418, 0.131225591758, 4.77027893066, 0.985717750154
