Sample-#, CA-V, CA-I, CB-V, CB-I 
0, 4.79995727539, 0.00152587892899, 4.79400634766, 0.993347144686
1, 4.79972839355, 0.0778198227636, 4.79400634766, 1.11541745719
2, 4.79988098145, 0.177001958946, 4.7940826416, 1.06964109
3, 4.79988098145, 0.177001958946, 4.79393005371, 1.03912351187
4, 4.80003356934, 0.13885498629, 4.79415893555, 0.993347144686
5, 4.7998046875, 0.0549316391698, 4.79400634766, 1.06964109
6, 4.80003356934, 0.0930786118261, 4.7940826416, 0.955200172029
7, 4.79995727539, 0.0320434555761, 4.79400634766, 1.00860593375
8, 4.80010986328, 0.0625610337011, 4.79423522949, 0.962829566561
9, 4.79995727539, 0.11596679542, 4.79393005371, 1.06964109
10, 4.79988098145, 0.0701904282323, 4.79415893555, 1.11541745719
11, 4.79995727539, 0.207519537071, 4.7940826416, 1.03912351187
12, 4.7998046875, 0.0549316391698, 4.7940826416, 1.06964109
13, 4.80003356934, 0.108337400889, 4.79393005371, 1.00097653922
14, 4.79988098145, 0.100708006357, 4.7940826416, 0.978088355623
15, 4.80026245117, 0.146484380821, 4.79415893555, 1.03149411734
16, 4.79988098145, 0.0930786118261, 4.7940826416, 1.10015866812
17, 4.79995727539, 0.184631353477, 4.7940826416, 0.955200172029
18, 4.79972839355, 0.13885498629, 4.7940826416, 0.955200172029
19, 4.79995727539, 0.108337400889, 4.79400634766, 1.02386472281
20, 4.79995727539, 0.0320434555761, 4.7940826416, 0.978088355623
21, 4.79988098145, 0.108337400889, 4.7940826416, 1.05438230094
22, 4.79988098145, 0.184631353477, 4.79400634766, 0.947570777498
23, 4.80003356934, 0.0244140628638, 4.79385375977, 1.12304685172
24, 4.7998046875, 0.192260748008, 4.7940826416, 1.05438230094
25, 4.80003356934, -0.00610351571595, 4.79415893555, 1.01623532828
26, 4.80010986328, 0.192260748008, 4.7940826416, 1.03912351187
27, 4.80010986328, 0.11596679542, 4.79393005371, 1.03149411734
28, 4.79995727539, 0.0244140628638, 4.79400634766, 1.13830564078
29, 4.79988098145, 0.0701904282323, 4.79385375977, 0.985717750154
30, 4.7998046875, 0.0549316391698, 4.79393005371, 1.03912351187
31, 4.79972839355, 0.0167846683325, 4.79431152344, 1.06964109
32, 4.79988098145, -0.028991698855, 4.79393005371, 1.0467529064
33, 4.79972839355, 0.123596197227, 4.79393005371, 0.993347144686
34, 4.79972839355, 0.108337400889, 4.79370117188, 0.924682593904
